,Zone,Lat,Lng
130,Brownsville,25.9017472,-97.4974838
131,Bushwick North,40.6944282,-73.9212858
132,Bushwick South,40.6944282,-73.9212858
133,Canarsie,40.6402325,-73.90605790000001
134,Carroll Gardens,40.6795331,-73.9991637
135,Central Harlem,48.5351455,-108.79122179999999
136,Central Harlem North,40.8142585,-73.9426617
137,Chinatown,37.794137799999994,-122.40779140000001
138,Clinton East,38.7651145,-76.8983059
139,Clinton Hill,40.6893665,-73.9639021
140,Clinton West,41.487875,-81.71094699999999
141,Co-Op City,40.8738889,-73.8294444
142,Cobble Hill,40.686536,-73.9962255
143,Coney Island,40.5755438,-73.9707016
144,Corona,33.8752935,-117.56643840000001
145,Crown Heights North,35.512170000000005,-97.52914
146,Crown Heights South,40.6681032,-73.94479940000001
147,Cypress Hills,40.683611799999994,-73.8801301
148,Downtown Brooklyn/MetroTech,40.6931322,-73.986496
149,DUMBO/Vinegar Hill,40.702754999999996,-73.98128840000001
150,Dyker Heights,40.6214932,-74.009584
151,East Chelsea,42.3180919,-84.02050290000001
152,East Concourse/Concourse Village,40.8461819,-73.9095033
153,East Elmhurst,40.7737505,-73.8713099
154,East Flatbush/Farragut,40.638525099999995,-73.9260253
155,East Flatbush/Remsen Village,40.6468201,-73.9133089
156,East Harlem North,40.7957399,-73.9389213
157,East Harlem South,40.7957399,-73.9389213
158,East New York,40.656831200000006,-73.88307009999998
159,East New York/Pennsylvania Avenue,40.6560923,-73.8886753
160,East Tremont,40.845378100000005,-73.8909693
161,East Village,40.7264773,-73.9815337
162,East Williamsburg,40.715876200000004,-73.9330429
163,Eastchester,40.959560499999995,-73.8095574
164,Elmhurst,41.8994744,-87.9403418
165,Elmhurst/Maspeth,40.737975,-73.8801301
166,Erasmus,35.8870112,-85.18496409999999
167,Financial District North,37.796667600000006,-122.40557709999999
168,Financial District South,37.7911452,-122.39494679999999
169,Flatbush/Ditmas Park,40.6409217,-73.96243270000001
170,Flatiron,40.741060499999996,-73.9896986
171,Flatlands,40.6268432,-73.9330429
172,Flushing,40.767498700000004,-73.833079
173,Fordham South,40.8620404,-73.8856987
174,Forest Hills,40.718106,-73.84484690000001
175,Fort Greene,40.6920638,-73.9741874
176,Fresh Meadows,40.7335179,-73.78014470000001
177,Garment District,42.3658911,-71.09293659999999
178,Gowanus,40.6733364,-73.9903489
179,Gramercy,40.7367783,-73.98447220000001
180,Gravesend,40.5910166,-73.977126
181,Greenpoint,40.7245448,-73.9418603
182,Greenwich Village North,40.7335719,-74.0027418
183,Greenwich Village South,40.7335719,-74.0027418
184,Hamilton Heights,40.8259597,-73.9496079
185,Hillcrest/Pomonok,40.721283,-73.805584
186,Hollis,42.7425166,-71.5895344
187,Hudson Sq,40.726583399999996,-74.00747309999998
188,Hunts Point,40.8120246,-73.8801301
189,Inwood,40.867714500000005,-73.92120190000001
190,Jackson Heights,40.7556818,-73.88307009999998
191,Jamaica,18.109581,-77.297508
192,JFK Airport,40.6413111,-73.77813909999999
193,Kensington,39.025665100000005,-77.07636690000001
194,Kew Gardens Hills,40.73849860000001,-73.81068540000001
195,Kingsbridge Heights,40.872321899999996,-73.9006916
196,Kips Bay,40.7423292,-73.9800645
197,LaGuardia Airport,40.7769271,-73.87396590000002
198,Lenox Hill East,40.7662315,-73.96023120000001
199,Lenox Hill West,40.7662315,-73.96023120000001
200,Lincoln Square East,41.9257597,-87.6549782
201,Lincoln Square West,40.7733055,-73.98145840000001
202,Little Italy/NoLiTa,40.7205544,-73.996656
203,Long Island City/Hunters Point,40.7480338,-73.9506774
204,Long Island City/Queens Plaza,40.7513473,-73.9410795
205,Lower East Side,40.715033,-73.98427240000001
206,Madison,43.07305170000001,-89.4012302
207,Manhattan Valley,40.796989,-73.969707
208,Manhattanville,40.816944299999996,-73.9558333
209,Mariners Harbor,41.9181579,-73.98303829999999
210,Maspeth,40.7294018,-73.9065883
