Zone,Lat,Lng
Kips Bay,40.7423292,-73.9800645
Garment District,42.3658911,-71.0929366
Morningside Heights,40.8089564,-73.9624327
Bloomfield/Emerson Hill,42.6043637,-83.2756129
Glendale,34.1425078,-118.255075
Cypress Hills,40.6836118,-73.8801301
Flushing,40.7674987,-73.833079
Charleston/Tottenville,40.5281967,-74.2355404
Washington Heights North,40.8417082,-73.9393554
College Point,40.786395,-73.8389657
West Farms/Bronx River,40.8430609,-73.8816001
Spuyten Duyvil/Kingsbridge,40.8794197,-73.9074286
Springfield Gardens North,40.6626441,-73.7683784
Elmhurst/Maspeth,40.737975,-73.8801301
Carroll Gardens,40.6795331,-73.9991637
Marble Hill,40.8761173,-73.9102628
Lincoln Square East,41.9257597,-87.6549782
North Corona,40.7502698,-73.8624893
Murray Hill-Queens,40.7665245,-73.8036752
East Tremont,40.8453781,-73.8909693
Sunnyside,36.732844,-119.7170466
Windsor Terrace,40.6539346,-73.9756567
Richmond Hill,40.6958108,-73.8272029
Glen Oaks,41.8924364,-85.4968205
Great Kills Park,40.5462096,-74.1238028
Financial District South,37.7911452,-122.3949468
Lenox Hill West,40.7662315,-73.9602312
Canarsie,40.6402325,-73.9060579
Starrett City,40.650167,-73.8836844
East Williamsburg,40.7158762,-73.9330429
Norwood,42.1943909,-71.1989695
Van Nest/Morris Park,40.845044,-73.8598069
Green-Wood Cemetery,40.6590043,-73.995602
Rosedale,33.8534421,-91.0278863
Midtown North,40.7649516,-73.9851039
Queensboro Hill,40.7674987,-73.833079
Marine Park/Floyd Bennett Field,40.5910174,-73.8906091
Baisley Park,40.6737751,-73.786025
Claremont/Bathgate,40.8412834,-73.9001573
Gowanus,40.6733364,-73.9903489
Eltingville/Annadale/Prince's Bay,40.55208,-74.1659708
Alphabet City,40.7258428,-73.9774916
Rockaway Park,40.5797863,-73.8372237
Randalls Island,40.7932271,-73.9212858
Kew Gardens Hills,40.7384986,-73.8106854
Crotona Park,40.8400221,-73.8953614
Fresh Meadows,40.7335179,-73.7801447
Midtown South,40.7538231,-73.9950023
NV,38.8026097,-116.419389
East Flatbush/Remsen Village,40.6468201,-73.9133089
Pelham Parkway,40.8553279,-73.8639594
Times Sq/Theatre District,40.759011,-73.9844722
Westchester Village/Unionport,40.833649,-73.8567991
Heartland Village/Todt Hill,40.5807663,-74.1680347
Jamaica Bay,40.6056632,-73.8713099
Oakwood,26.0366492,-80.1628319
Broad Channel,40.6158335,-73.8213213
Flatbush/Ditmas Park,40.6409217,-73.9624327
Yorkville East,40.770203,-73.9507299
Bath Beach,40.6045491,-74.004306
Long Island City/Hunters Point,40.7480338,-73.9506774
Seaport,37.9378182,-121.3141291
Saint Michaels Cemetery/Woodside,40.7646761,-73.8985042
East Flatbush/Farragut,40.6385251,-73.9260253
Bensonhurst West,40.6112691,-73.9976946
Hamilton Heights,40.8259597,-73.9496079
Kingsbridge Heights,40.8723219,-73.9006916
Penn Station/Madison Sq West,40.7483605,-73.9907657
West Chelsea/Hudson Yards,40.752559,-74.002736
Parkchester,40.8382522,-73.8566087
Williamsbridge/Olinville,40.8774767,-73.8664402
Williamsburg (North Side),40.7162857,-73.9583898
Park Slope,40.6681038,-73.9805817
Mount Hope,40.622934,-81.786133
Bellerose,40.7243707,-73.7154014
Soundview/Bruckner,40.8240844,-73.8762153
Stapleton,39.7601463,-104.8907792
SoHo,40.723301,-74.0029883
JFK Airport,40.6413111,-73.7781391
Far Rockaway,40.5998931,-73.7448437
Springfield Gardens South,40.6626441,-73.7683784
Clinton East,38.7651145,-76.8983059
Williamsburg (South Side),40.71305,-73.957037
Breezy Point/Fort Tilden/Riis Beach,40.5616379,-73.8953425
Columbia Street,40.6781085,-74.0060591
Crown Heights North,35.51217,-97.52914
Arrochar/Fort Wadsworth,40.5967312,-74.0704232
Woodside,40.7512123,-73.9036487
Oakland Gardens,40.7408584,-73.758241
Maspeth,40.7294018,-73.9065883
East New York/Pennsylvania Avenue,40.6560923,-73.8886753
Hollis,42.7425166,-71.5895344
Briarwood/Jamaica Hills,40.714341,-73.802722
Longwood,28.7030519,-81.3384011
Riverdale/North Riverdale/Fieldston,40.898057,-73.9014018
Downtown Brooklyn/MetroTech,40.6931322,-73.986496
Dyker Heights,40.6214932,-74.009584
Woodhaven,42.1389839,-83.2417994
Pelham Bay Park,40.8505689,-73.8210182
Rikers Island,40.7931277,-73.88601
Eastchester,40.9595605,-73.8095574
Grymes Hill/Clifton,40.6213905,-74.0801616
Mott Haven/Port Morris,40.8091068,-73.9228881
Willets Point,40.7606911,-73.840436
Yorkville West,41.6411409,-88.4472948
Two Bridges/Seward Park,40.7157874,-73.9892011
Sunset Park West,40.645532,-74.0123851
Battery Park,40.7032775,-74.0170279
