,ride,VenID,PUID,PUhour,tot_rides,Borough,service_zone
45,FTD,B00029,32.0,23,16,Bronx,Boro Zone
46,FTD,B00029,32.0,3,3,Bronx,Boro Zone
47,FTD,B00029,32.0,4,2,Bronx,Boro Zone
48,FTD,B00029,32.0,5,12,Bronx,Boro Zone
49,FTD,B00029,32.0,6,9,Bronx,Boro Zone
50,FTD,B00029,32.0,7,30,Bronx,Boro Zone
51,FTD,B00029,32.0,8,14,Bronx,Boro Zone
52,FTD,B00029,32.0,9,9,Bronx,Boro Zone
53,FTD,B00029,41.0,13,1,Manhattan,Boro Zone
54,FTD,B00029,46.0,1,1,Bronx,Boro Zone
55,FTD,B00029,46.0,14,1,Bronx,Boro Zone
56,FTD,B00029,46.0,20,2,Bronx,Boro Zone
57,FTD,B00029,46.0,21,1,Bronx,Boro Zone
58,FTD,B00029,46.0,4,1,Bronx,Boro Zone
59,FTD,B00029,51.0,0,37,Bronx,Boro Zone
60,FTD,B00029,51.0,1,27,Bronx,Boro Zone
61,FTD,B00029,51.0,10,182,Bronx,Boro Zone
62,FTD,B00029,51.0,11,148,Bronx,Boro Zone
63,FTD,B00029,51.0,12,152,Bronx,Boro Zone
64,FTD,B00029,51.0,13,167,Bronx,Boro Zone
65,FTD,B00029,51.0,14,155,Bronx,Boro Zone
66,FTD,B00029,51.0,15,141,Bronx,Boro Zone
67,FTD,B00029,51.0,16,141,Bronx,Boro Zone
68,FTD,B00029,51.0,17,99,Bronx,Boro Zone
69,FTD,B00029,51.0,18,80,Bronx,Boro Zone
70,FTD,B00029,51.0,19,81,Bronx,Boro Zone
71,FTD,B00029,51.0,2,20,Bronx,Boro Zone
72,FTD,B00029,51.0,20,63,Bronx,Boro Zone
73,FTD,B00029,51.0,21,43,Bronx,Boro Zone
74,FTD,B00029,51.0,22,37,Bronx,Boro Zone
75,FTD,B00029,51.0,23,45,Bronx,Boro Zone
76,FTD,B00029,51.0,3,20,Bronx,Boro Zone
77,FTD,B00029,51.0,4,42,Bronx,Boro Zone
78,FTD,B00029,51.0,5,58,Bronx,Boro Zone
79,FTD,B00029,51.0,6,136,Bronx,Boro Zone
80,FTD,B00029,51.0,7,206,Bronx,Boro Zone
81,FTD,B00029,51.0,8,232,Bronx,Boro Zone
82,FTD,B00029,51.0,9,210,Bronx,Boro Zone
83,FTD,B00029,60.0,10,1,Bronx,Boro Zone
84,FTD,B00029,60.0,18,1,Bronx,Boro Zone
85,FTD,B00029,60.0,20,2,Bronx,Boro Zone
86,FTD,B00029,60.0,22,1,Bronx,Boro Zone
87,FTD,B00029,72.0,15,1,Brooklyn,Boro Zone
88,FTD,B00029,78.0,14,1,Bronx,Boro Zone
89,FTD,B00029,81.0,0,80,Bronx,Boro Zone
90,FTD,B00029,81.0,1,55,Bronx,Boro Zone
91,FTD,B00029,81.0,10,288,Bronx,Boro Zone
92,FTD,B00029,81.0,11,289,Bronx,Boro Zone
93,FTD,B00029,81.0,12,264,Bronx,Boro Zone
94,FTD,B00029,81.0,13,237,Bronx,Boro Zone
95,FTD,B00029,81.0,14,293,Bronx,Boro Zone
96,FTD,B00029,81.0,15,261,Bronx,Boro Zone
97,FTD,B00029,81.0,16,190,Bronx,Boro Zone
98,FTD,B00029,81.0,17,153,Bronx,Boro Zone
99,FTD,B00029,81.0,18,156,Bronx,Boro Zone
100,FTD,B00029,81.0,19,155,Bronx,Boro Zone
101,FTD,B00029,81.0,2,54,Bronx,Boro Zone
102,FTD,B00029,81.0,20,107,Bronx,Boro Zone
103,FTD,B00029,81.0,21,96,Bronx,Boro Zone
104,FTD,B00029,81.0,22,124,Bronx,Boro Zone
105,FTD,B00029,81.0,23,120,Bronx,Boro Zone
106,FTD,B00029,81.0,3,44,Bronx,Boro Zone
107,FTD,B00029,81.0,4,93,Bronx,Boro Zone
108,FTD,B00029,81.0,5,139,Bronx,Boro Zone
109,FTD,B00029,81.0,6,276,Bronx,Boro Zone
110,FTD,B00029,81.0,7,276,Bronx,Boro Zone
111,FTD,B00029,81.0,8,331,Bronx,Boro Zone
112,FTD,B00029,81.0,9,298,Bronx,Boro Zone
113,FTD,B00029,129.0,16,4,Queens,Boro Zone
114,FTD,B00029,136.0,7,1,Bronx,Boro Zone
115,FTD,B00029,142.0,10,1,Manhattan,Yellow Zone
116,FTD,B00029,159.0,12,1,Bronx,Boro Zone
117,FTD,B00029,167.0,17,1,Bronx,Boro Zone
118,FTD,B00029,169.0,23,1,Bronx,Boro Zone
119,FTD,B00029,173.0,12,1,Queens,Boro Zone
120,FTD,B00029,174.0,1,1,Bronx,Boro Zone
121,FTD,B00029,174.0,10,1,Bronx,Boro Zone
122,FTD,B00029,174.0,11,7,Bronx,Boro Zone
123,FTD,B00029,174.0,12,7,Bronx,Boro Zone
124,FTD,B00029,174.0,13,3,Bronx,Boro Zone
125,FTD,B00029,174.0,14,5,Bronx,Boro Zone
126,FTD,B00029,174.0,15,4,Bronx,Boro Zone
127,FTD,B00029,174.0,16,2,Bronx,Boro Zone
128,FTD,B00029,174.0,17,1,Bronx,Boro Zone
129,FTD,B00029,174.0,18,1,Bronx,Boro Zone
130,FTD,B00029,174.0,2,2,Bronx,Boro Zone
131,FTD,B00029,174.0,21,2,Bronx,Boro Zone
132,FTD,B00029,174.0,23,3,Bronx,Boro Zone
133,FTD,B00029,174.0,3,1,Bronx,Boro Zone
134,FTD,B00029,174.0,4,1,Bronx,Boro Zone
135,FTD,B00029,174.0,7,1,Bronx,Boro Zone
136,FTD,B00029,174.0,8,3,Bronx,Boro Zone
137,FTD,B00029,174.0,9,1,Bronx,Boro Zone
138,FTD,B00029,183.0,10,2,Bronx,Boro Zone
139,FTD,B00029,183.0,12,1,Bronx,Boro Zone
140,FTD,B00029,183.0,14,1,Bronx,Boro Zone
141,FTD,B00029,183.0,15,1,Bronx,Boro Zone
142,FTD,B00029,183.0,16,2,Bronx,Boro Zone
143,FTD,B00029,183.0,17,1,Bronx,Boro Zone
144,FTD,B00029,183.0,2,1,Bronx,Boro Zone
145,FTD,B00029,183.0,6,1,Bronx,Boro Zone
146,FTD,B00029,184.0,16,1,Bronx,Boro Zone
147,FTD,B00029,185.0,0,7,Bronx,Boro Zone
148,FTD,B00029,185.0,1,6,Bronx,Boro Zone
149,FTD,B00029,185.0,10,6,Bronx,Boro Zone
150,FTD,B00029,185.0,11,11,Bronx,Boro Zone
151,FTD,B00029,185.0,12,7,Bronx,Boro Zone
152,FTD,B00029,185.0,13,21,Bronx,Boro Zone
153,FTD,B00029,185.0,14,10,Bronx,Boro Zone
154,FTD,B00029,185.0,15,22,Bronx,Boro Zone
155,FTD,B00029,185.0,16,13,Bronx,Boro Zone
156,FTD,B00029,185.0,17,11,Bronx,Boro Zone
157,FTD,B00029,185.0,18,5,Bronx,Boro Zone
158,FTD,B00029,185.0,19,4,Bronx,Boro Zone
159,FTD,B00029,185.0,2,1,Bronx,Boro Zone
160,FTD,B00029,185.0,20,5,Bronx,Boro Zone
161,FTD,B00029,185.0,21,2,Bronx,Boro Zone
162,FTD,B00029,185.0,22,1,Bronx,Boro Zone
163,FTD,B00029,185.0,23,8,Bronx,Boro Zone
164,FTD,B00029,185.0,5,5,Bronx,Boro Zone
165,FTD,B00029,185.0,6,2,Bronx,Boro Zone
166,FTD,B00029,185.0,7,11,Bronx,Boro Zone
167,FTD,B00029,185.0,8,8,Bronx,Boro Zone
168,FTD,B00029,185.0,9,6,Bronx,Boro Zone
169,FTD,B00029,208.0,0,1,Bronx,Boro Zone
170,FTD,B00029,208.0,10,1,Bronx,Boro Zone
171,FTD,B00029,208.0,12,3,Bronx,Boro Zone
172,FTD,B00029,208.0,13,4,Bronx,Boro Zone
173,FTD,B00029,208.0,14,2,Bronx,Boro Zone
174,FTD,B00029,208.0,15,1,Bronx,Boro Zone
175,FTD,B00029,208.0,16,2,Bronx,Boro Zone
176,FTD,B00029,208.0,18,1,Bronx,Boro Zone
177,FTD,B00029,208.0,22,2,Bronx,Boro Zone
178,FTD,B00029,208.0,7,1,Bronx,Boro Zone
179,FTD,B00029,208.0,9,1,Bronx,Boro Zone
180,FTD,B00029,212.0,12,1,Bronx,Boro Zone
181,FTD,B00029,213.0,12,2,Bronx,Boro Zone
182,FTD,B00029,213.0,21,1,Bronx,Boro Zone
183,FTD,B00029,213.0,7,1,Bronx,Boro Zone
184,FTD,B00029,220.0,12,1,Bronx,Boro Zone
185,FTD,B00029,240.0,10,1,Bronx,Boro Zone
186,FTD,B00029,240.0,11,1,Bronx,Boro Zone
187,FTD,B00029,240.0,12,1,Bronx,Boro Zone
188,FTD,B00029,240.0,14,3,Bronx,Boro Zone
189,FTD,B00029,240.0,23,1,Bronx,Boro Zone
190,FTD,B00029,240.0,9,2,Bronx,Boro Zone
191,FTD,B00029,241.0,1,1,Bronx,Boro Zone
192,FTD,B00029,241.0,13,1,Bronx,Boro Zone
193,FTD,B00029,242.0,0,3,Bronx,Boro Zone
194,FTD,B00029,242.0,1,1,Bronx,Boro Zone
195,FTD,B00029,242.0,10,12,Bronx,Boro Zone
196,FTD,B00029,242.0,11,16,Bronx,Boro Zone
197,FTD,B00029,242.0,12,14,Bronx,Boro Zone
198,FTD,B00029,242.0,13,13,Bronx,Boro Zone
199,FTD,B00029,242.0,14,14,Bronx,Boro Zone
200,FTD,B00029,242.0,15,14,Bronx,Boro Zone
201,FTD,B00029,242.0,16,11,Bronx,Boro Zone
202,FTD,B00029,242.0,17,5,Bronx,Boro Zone
203,FTD,B00029,242.0,18,1,Bronx,Boro Zone
204,FTD,B00029,242.0,19,5,Bronx,Boro Zone
205,FTD,B00029,242.0,20,5,Bronx,Boro Zone
206,FTD,B00029,242.0,22,1,Bronx,Boro Zone
207,FTD,B00029,242.0,23,4,Bronx,Boro Zone
208,FTD,B00029,242.0,6,1,Bronx,Boro Zone
209,FTD,B00029,242.0,7,2,Bronx,Boro Zone
210,FTD,B00029,242.0,8,5,Bronx,Boro Zone
211,FTD,B00029,242.0,9,13,Bronx,Boro Zone
212,FTD,B00029,248.0,19,1,Bronx,Boro Zone
213,FTD,B00029,248.0,23,1,Bronx,Boro Zone
214,FTD,B00029,250.0,12,1,Bronx,Boro Zone
215,FTD,B00029,250.0,13,1,Bronx,Boro Zone
216,FTD,B00029,250.0,20,1,Bronx,Boro Zone
217,FTD,B00029,254.0,0,25,Bronx,Boro Zone
218,FTD,B00029,254.0,1,25,Bronx,Boro Zone
219,FTD,B00029,254.0,10,93,Bronx,Boro Zone
220,FTD,B00029,254.0,11,90,Bronx,Boro Zone
221,FTD,B00029,254.0,12,94,Bronx,Boro Zone
222,FTD,B00029,254.0,13,94,Bronx,Boro Zone
223,FTD,B00029,254.0,14,89,Bronx,Boro Zone
224,FTD,B00029,254.0,15,78,Bronx,Boro Zone
225,FTD,B00029,254.0,16,59,Bronx,Boro Zone
226,FTD,B00029,254.0,17,52,Bronx,Boro Zone
227,FTD,B00029,254.0,18,50,Bronx,Boro Zone
228,FTD,B00029,254.0,19,51,Bronx,Boro Zone
229,FTD,B00029,254.0,2,19,Bronx,Boro Zone
230,FTD,B00029,254.0,20,44,Bronx,Boro Zone
231,FTD,B00029,254.0,21,52,Bronx,Boro Zone
232,FTD,B00029,254.0,22,56,Bronx,Boro Zone
233,FTD,B00029,254.0,23,32,Bronx,Boro Zone
234,FTD,B00029,254.0,3,31,Bronx,Boro Zone
235,FTD,B00029,254.0,4,9,Bronx,Boro Zone
236,FTD,B00029,254.0,5,48,Bronx,Boro Zone
237,FTD,B00029,254.0,6,123,Bronx,Boro Zone
238,FTD,B00029,254.0,7,100,Bronx,Boro Zone
239,FTD,B00029,254.0,8,101,Bronx,Boro Zone
240,FTD,B00029,254.0,9,111,Bronx,Boro Zone
241,FTD,B00029,259.0,0,9,Bronx,Boro Zone
242,FTD,B00029,259.0,1,5,Bronx,Boro Zone
243,FTD,B00029,259.0,10,24,Bronx,Boro Zone
244,FTD,B00029,259.0,11,19,Bronx,Boro Zone
245,FTD,B00029,259.0,12,17,Bronx,Boro Zone
246,FTD,B00029,259.0,13,12,Bronx,Boro Zone
247,FTD,B00029,259.0,14,14,Bronx,Boro Zone
248,FTD,B00029,259.0,15,19,Bronx,Boro Zone
249,FTD,B00029,259.0,16,11,Bronx,Boro Zone
250,FTD,B00029,259.0,17,4,Bronx,Boro Zone
251,FTD,B00029,259.0,18,6,Bronx,Boro Zone
252,FTD,B00029,259.0,19,9,Bronx,Boro Zone
253,FTD,B00029,259.0,2,2,Bronx,Boro Zone
254,FTD,B00029,259.0,20,5,Bronx,Boro Zone
255,FTD,B00029,259.0,21,4,Bronx,Boro Zone
256,FTD,B00029,259.0,22,9,Bronx,Boro Zone
257,FTD,B00029,259.0,23,5,Bronx,Boro Zone
258,FTD,B00029,259.0,3,2,Bronx,Boro Zone
259,FTD,B00029,259.0,4,3,Bronx,Boro Zone
260,FTD,B00029,259.0,5,22,Bronx,Boro Zone
261,FTD,B00029,259.0,6,13,Bronx,Boro Zone
262,FTD,B00029,259.0,7,18,Bronx,Boro Zone
263,FTD,B00029,259.0,8,10,Bronx,Boro Zone
264,FTD,B00029,259.0,9,25,Bronx,Boro Zone
265,FTD,B00029,265.0,0,5,Unknown,
266,FTD,B00029,265.0,1,3,Unknown,
267,FTD,B00029,265.0,10,7,Unknown,
268,FTD,B00029,265.0,11,8,Unknown,
269,FTD,B00029,265.0,12,19,Unknown,
270,FTD,B00029,265.0,13,8,Unknown,
271,FTD,B00029,265.0,14,13,Unknown,
272,FTD,B00029,265.0,15,5,Unknown,
273,FTD,B00029,265.0,16,9,Unknown,
274,FTD,B00029,265.0,17,9,Unknown,
275,FTD,B00029,265.0,18,7,Unknown,
276,FTD,B00029,265.0,19,5,Unknown,
277,FTD,B00029,265.0,2,4,Unknown,
278,FTD,B00029,265.0,20,9,Unknown,
279,FTD,B00029,265.0,21,5,Unknown,
280,FTD,B00029,265.0,22,8,Unknown,
281,FTD,B00029,265.0,23,11,Unknown,
282,FTD,B00029,265.0,3,5,Unknown,
283,FTD,B00029,265.0,4,9,Unknown,
284,FTD,B00029,265.0,5,9,Unknown,
285,FTD,B00029,265.0,6,4,Unknown,
286,FTD,B00029,265.0,7,1,Unknown,
287,FTD,B00029,265.0,8,2,Unknown,
288,FTD,B00029,265.0,9,1,Unknown,
