,ride,VenID,PUID,PUhour,tot_rides,Borough,service_zone
0,FTD,B00029,3.0,0,19,Bronx,Boro Zone
1,FTD,B00029,3.0,1,13,Bronx,Boro Zone
2,FTD,B00029,3.0,10,125,Bronx,Boro Zone
3,FTD,B00029,3.0,11,128,Bronx,Boro Zone
4,FTD,B00029,3.0,12,88,Bronx,Boro Zone
5,FTD,B00029,3.0,13,109,Bronx,Boro Zone
6,FTD,B00029,3.0,14,164,Bronx,Boro Zone
7,FTD,B00029,3.0,15,135,Bronx,Boro Zone
8,FTD,B00029,3.0,16,97,Bronx,Boro Zone
9,FTD,B00029,3.0,17,82,Bronx,Boro Zone
10,FTD,B00029,3.0,18,71,Bronx,Boro Zone
11,FTD,B00029,3.0,19,53,Bronx,Boro Zone
12,FTD,B00029,3.0,2,15,Bronx,Boro Zone
13,FTD,B00029,3.0,20,55,Bronx,Boro Zone
14,FTD,B00029,3.0,21,49,Bronx,Boro Zone
15,FTD,B00029,3.0,22,43,Bronx,Boro Zone
16,FTD,B00029,3.0,23,41,Bronx,Boro Zone
17,FTD,B00029,3.0,3,10,Bronx,Boro Zone
18,FTD,B00029,3.0,4,8,Bronx,Boro Zone
19,FTD,B00029,3.0,5,70,Bronx,Boro Zone
20,FTD,B00029,3.0,6,98,Bronx,Boro Zone
21,FTD,B00029,3.0,7,150,Bronx,Boro Zone
22,FTD,B00029,3.0,8,169,Bronx,Boro Zone
23,FTD,B00029,3.0,9,147,Bronx,Boro Zone
24,FTD,B00029,18.0,10,2,Bronx,Boro Zone
25,FTD,B00029,18.0,12,3,Bronx,Boro Zone
26,FTD,B00029,18.0,13,1,Bronx,Boro Zone
27,FTD,B00029,18.0,9,1,Bronx,Boro Zone
28,FTD,B00029,31.0,20,1,Bronx,Boro Zone
29,FTD,B00029,32.0,0,6,Bronx,Boro Zone
30,FTD,B00029,32.0,1,2,Bronx,Boro Zone
31,FTD,B00029,32.0,10,14,Bronx,Boro Zone
32,FTD,B00029,32.0,11,8,Bronx,Boro Zone
33,FTD,B00029,32.0,12,7,Bronx,Boro Zone
34,FTD,B00029,32.0,13,5,Bronx,Boro Zone
35,FTD,B00029,32.0,14,21,Bronx,Boro Zone
36,FTD,B00029,32.0,15,14,Bronx,Boro Zone
37,FTD,B00029,32.0,16,12,Bronx,Boro Zone
38,FTD,B00029,32.0,17,6,Bronx,Boro Zone
39,FTD,B00029,32.0,18,1,Bronx,Boro Zone
40,FTD,B00029,32.0,19,8,Bronx,Boro Zone
41,FTD,B00029,32.0,2,3,Bronx,Boro Zone
42,FTD,B00029,32.0,20,7,Bronx,Boro Zone
43,FTD,B00029,32.0,21,5,Bronx,Boro Zone
44,FTD,B00029,32.0,22,4,Bronx,Boro Zone
